centerPathDist,indPathDist,ForagingIntake,foraginIntakeSD,GroupSize,influenceType,path,corePer,PathFood,pathWidth,
9999,9999,0.202086667,0.011936514,50,2,0,0.1,0.001,25,
357.1496138,357.3880456,0.204715556,0.010270114,50,2,1,0.1,0.001,25,
274.6333513,278.4219696,0.292256667,0.012804482,50,2,2,0.1,0.001,25,
259.3751455,261.5573515,0.267407778,0.013457613,50,2,4,0.1,0.001,25,
316.10903,318.3827497,0.281926667,0.011842403,50,2,8,0.1,0.001,25,
9999,9999,0.419175556,0.032064654,50,2,0,0.9,0.001,25,
174.0494095,241.7358392,0.442534444,0.030930664,50,2,1,0.9,0.001,25,
221.7211541,206.5514415,0.500442222,0.031365799,50,2,2,0.9,0.001,25,
138.4636439,279.0376714,0.456026667,0.031586254,50,2,4,0.9,0.001,25,
144.3764961,223.3917244,0.491327778,0.024407412,50,2,8,0.9,0.001,25,
9999,9999,0.098542222,0.005284852,50,2,0,0.1,0.001,25,
300.7630062,301.2096242,0.244817778,0.013254814,50,2,1,0.1,0.001,25,
593.590867,594.3492665,0.236983333,0.011845518,50,2,2,0.1,0.001,25,
376.0085727,378.0289394,0.255155556,0.013916463,50,2,4,0.1,0.001,25,
274.7290065,275.4982928,0.22176,0.010889562,50,2,8,0.1,0.001,25,
9999,9999,0.468723333,0.026615889,50,2,0,0.9,0.001,25,
26.32243798,191.4966643,0.421555556,0.041509782,50,2,1,0.9,0.001,25,
227.6601503,253.5073916,0.476615556,0.030388164,50,2,2,0.9,0.001,25,
262.7722342,310.9552152,0.454115556,0.035795626,50,2,4,0.9,0.001,25,
208.9088015,230.498231,0.470962222,0.027711341,50,2,8,0.9,0.001,25,
9999,9999,0.212288889,0.011443758,50,2,0,0.1,0.001,25,
313.7259156,314.6126966,0.127051111,0.006778342,50,2,1,0.1,0.001,25,
289.8973456,289.0624154,0.122912222,0.006163178,50,2,2,0.1,0.001,25,
484.6435203,485.4073574,0.228738889,0.013429535,50,2,4,0.1,0.001,25,
200.0420425,201.5417048,0.20059,0.010085015,50,2,8,0.1,0.001,25,
9999,9999,0.383891111,0.041284221,50,2,0,0.9,0.001,25,
188.8519455,213.532127,0.499972222,0.024773625,50,2,1,0.9,0.001,25,
141.9392311,206.5885762,0.490541111,0.030697427,50,2,2,0.9,0.001,25,
153.4106612,245.1529622,0.450266667,0.032391291,50,2,4,0.9,0.001,25,
221.8212535,227.2447518,0.422387778,0.036764387,50,2,8,0.9,0.001,25,
9999,9999,0.228506667,0.012068581,50,2,0,0.1,0.001,25,
461.5881944,461.9249309,0.223507778,0.013314985,50,2,1,0.1,0.001,25,
422.587446,426.4654227,0.310318889,0.013691336,50,2,2,0.1,0.001,25,
280.3549568,281.7257718,0.247687778,0.012072231,50,2,4,0.1,0.001,25,
193.0203332,200.2998185,0.493871111,0.031521964,50,2,2,0.9,0.001,25,
158.0390942,279.489635,0.452756667,0.032669542,50,2,4,0.9,0.001,25,
183.5250031,251.9807703,0.392562222,0.037762506,50,2,8,0.9,0.001,25,
9999,9999,0.234083333,0.012781973,50,2,0,0.1,0.001,25,
65.83645371,76.00266614,0.368488889,0.013071502,50,2,1,0.1,0.001,25,
442.2506208,444.5070673,0.240153333,0.009747423,50,2,2,0.1,0.001,25,
481.8148752,482.3425003,0.191127778,0.010308808,50,2,4,0.1,0.001,25,
172.7010659,174.5806131,0.213008889,0.011054178,50,2,8,0.1,0.001,25,
9999,9999,0.38834,0.034196666,50,2,0,0.9,0.001,25,
32.30774993,184.1244087,0.497147778,0.028279293,50,2,1,0.9,0.001,25,
217.9916516,301.6620368,0.40165,0.051575669,50,2,2,0.9,0.001,25,
114.911685,236.3026112,0.459815556,0.028222666,50,2,4,0.9,0.001,25,
245.1504656,273.7345707,0.436674444,0.033754974,50,2,8,0.9,0.001,25,
9999,9999,0.17136,0.008542416,50,2,0,0.1,0.001,25,
264.9887626,266.6359805,0.253168889,0.012437137,50,2,1,0.1,0.001,25,
311.160473,314.8291509,0.307386667,0.014328843,50,2,2,0.1,0.001,25,
336.3696246,340.2363024,0.219841111,0.010294978,50,2,4,0.1,0.001,25,
219.9557132,221.193259,0.258122222,0.013502459,50,2,8,0.1,0.001,25,
9999,9999,0.482767778,0.021455166,50,2,0,0.9,0.001,25,
120.7713824,182.9660079,0.463407778,0.028158376,50,2,1,0.9,0.001,25,
189.0004859,168.0247982,0.54424,0.025210121,50,2,2,0.9,0.001,25,
193.5048845,272.1709826,0.494827778,0.02634543,50,2,4,0.9,0.001,25,
90.89533133,249.1595754,0.47528,0.027430853,50,2,8,0.9,0.001,25,
9999,9999,0.21859,0.011497502,50,2,0,0.1,0.001,25,
357.2146551,357.7747818,0.235052222,0.012098875,50,2,1,0.1,0.001,25,
340.3385915,342.305733,0.26894,0.014190689,50,2,2,0.1,0.001,25,
412.1523956,414.5794807,0.284174444,0.013911957,50,2,4,0.1,0.001,25,
406.3311648,408.0886434,0.253238889,0.014372352,50,2,8,0.1,0.001,25,
9999,9999,0.397741111,0.034449464,50,2,0,0.9,0.001,25,
88.38048414,183.0013551,0.445143333,0.030791368,50,2,1,0.9,0.001,25,
173.3526278,253.2084037,0.463833333,0.037598245,50,2,2,0.9,0.001,25,
181.4128406,272.1293644,0.445725556,0.035430252,50,2,4,0.9,0.001,25,
140.7114195,257.190056,0.395375556,0.043402126,50,2,8,0.9,0.001,25,
9999,9999,0.239154444,0.014039886,50,2,0,0.1,0.001,25,
174.4963712,178.2869612,0.308741111,0.013459493,50,2,1,0.1,0.001,25,
611.6979081,613.1834522,0.263762222,0.011960996,50,2,2,0.1,0.001,25,
292.921557,294.8565023,0.267075556,0.01385248,50,2,4,0.1,0.001,25,
368.7628397,369.3850437,0.266187778,0.015001442,50,2,8,0.1,0.001,25,
9999,9999,0.474943333,0.026846514,50,2,0,0.9,0.001,25,
92.50746626,165.3453663,0.467465556,0.035030773,50,2,1,0.9,0.001,25,
120.8734993,228.9064648,0.448621111,0.040998857,50,2,2,0.9,0.001,25,
167.1848605,211.3718846,0.49229,0.028125449,50,2,4,0.9,0.001,25,
114.3640478,259.6222401,0.432135556,0.032868356,50,2,8,0.9,0.001,25,
9999,9999,0.227986667,0.011780989,50,2,0,0.1,0.001,25,
177.061642,180.049455,0.297561111,0.012732901,50,2,1,0.1,0.001,25,
695.8096725,695.9411333,0.175512222,0.010317232,50,2,2,0.1,0.001,25,
373.9162597,375.4210969,0.281364444,0.014336536,50,2,4,0.1,0.001,25,
